ID,synbol,max_supply,circulating_supply,market_cap,fully_diluted_market_cap,price
20314,LUNA,,709984438.91686,499069059.3705903,834171480.71,0.70292957424808
21259,ZETA,2100000000,576114583,494571492.5961365,1802766611.19,0.8584602910427221
21846,ID,2000000000,796057180.5383956,492472354.61003107,1237278845.41,0.6186394227069949
29676,AEVO,1000000000,899676888.8275826,492242277.8947098,547132291.61,0.5471322916121334
2577,RVN,21000000000,14571117701.763916,480429129.8961279,692397929.54,0.03297132997820539
28541,JTO,,131829724.4,474716194.1020695,3600979947.9,3.6009799479036873
3945,ONE,,14311273690.262896,468727287.71696764,473605744.45,0.032752311070389235
33093,MOODENG,989971791.17,989971791.17,459792716.269044,459792716.27,0.46445032107999473
1042,SC,,57740391700.25071,453613574.9839481,453844491.32,0.007856087595297323
9258,XCH,,13957509,446833245.3011181,1035087272.75,32.01382462308411
2299,ELF,1000000000,734579668.90919,441744988.8814335,601357494.06,0.601357494058337
1785,GAS,,64992331,432468894.8052353,432468894.81,6.65415270003526
5691,SKL,7000000000,5538894337,430081034.18653727,543532166.55,0.07764745236492084
1934,LRC,,1366806970.1885817,413323913.9226547,415460809.21,0.3024010873061522
8536,MASK,100000000,100000000,405197595.62634414,405197595.63,4.051975956263441
9543,BICO,,890402776.4527231,400345054.7481883,449622424.07,0.4496224240709621
5864,YFI,,33601.36540098,400069935.34641415,436326786.45,11906.35947593802
9640,METIS,,6151334.342,399200014.03255,648964910.44,64.8964910437232
6953,FXS,,85566384.36791444,396017547.6421451,461344974.68,4.628190738308714
32698,DOGS,550000000000,516750000000,390608436.1325648,415741925.25,0.00075589440954536
6758,SUSHI,,261785541.15650383,381064885.3909971,405061673.21,1.4556376326497888
12999,SSV,,11562596.23155108,378238058.88194364,387263032.33,32.71220851333009
30083,ATH,42000000000,5217818110,371305668.02650803,2988766133.34,0.07116109841293568
17751,T,,10039907033.713827,370648460.9397993,407384824.65,0.03691751922554347
11857,GMX,,9864674.51398094,370225690.07686883,370225690.08,37.53045166894841
14806,PEOPLE,,5060137334.7,356647858.90034795,356647858.9,0.07048185361583521
2943,RPL,,20909795.09791363,354397194.2714184,354397194.27,16.948860216558504
8719,ILV,,5252158.6654223,353908790.9174014,584924075.76,67.38349190540788
6836,GLMR,,924041992,349986710.63595706,435084847.85,0.37875628344383405
109,DGB,21000000000,17402087969.697025,342526350.582759,413344270.8,0.019683060514302325
5617,UMA,,86418119.1979908,339008342.0839428,479439859.82,3.922884983266618
4679,BAND,,154103583.334427,338461346.7889968,338461346.79,2.196323664028544
10688,YGG,1000000000,414486761.2917275,331015562.2204673,798615524.39,0.7986155243870123
32120,G,12000000000,8277420000,328204954.3898867,475807613.08,0.039650634423514415
2566,ONT,1000000000,907697857,315627200.054218,347722755.56,0.3477227555625021
29335,PIXEL,5000000000,1148124004.66,314504683.6630385,1369645971.98,0.2739291943958391
32724,CAT,9000000000000,6749954917916.278,313333025.12148017,417780157.11,4.642001745668052e-05
6958,ACH,10000000000,8425944046.5587225,307217764.78030145,364609310.34,0.03646093103428258
